departamento,provincia,anio,longitud,latitud,NDVI,SAVI,EVI,NDMI,precipitacion_mm,temperatura_c,altitud_m
Puno,Azángaro,2020.0,-70.00121851501372,-14.763811694504337,0.18306084,0.11734051,0.113674186,-0.20296136,706.5932,7.4995213,4055.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.629064401886408,0.3,0.20961538,0.20585458,-0.07536705,675.376,7.6421027,3952.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.359569816650552,0.31717172,0.18627928,0.17402796,-0.17524569,858.8336,5.0308275,4677.0
Puno,Azángaro,2020.0,-70.2347804888848,-15.123137808152146,0.20781644,0.13976869,0.13296057,-0.1499347,540.17773,8.920724,3927.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.898558987122264,0.260166,0.19154786,0.18348087,-0.075635366,597.9313,7.285894,3865.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.584148637680432,0.36793962,0.25749493,0.2501866,-0.01644196,890.2012,3.6367795,4741.0
Puno,Azángaro,2020.0,-69.95630275080774,-15.123137808152146,0.18653321,0.13090678,0.123990685,-0.101928376,623.58954,8.169278,3921.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.584148637680432,0.23708722,0.14748918,0.14054579,-0.14876676,811.1563,3.3498538,4737.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.808727458710312,0.25470033,0.15444794,0.14511551,-0.18415757,623.7383,7.8293405,4234.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.404485580856528,0.2399007,0.14367884,0.13472067,-0.253634,875.8761,5.4242625,4336.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.212969336564097,0.17218798,0.13157378,0.12821248,-0.12115523,598.96246,9.111691,3840.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.449401345062505,0.21822411,0.13822289,0.12593165,-0.20726496,818.64185,5.660489,4523.0
Puno,Azángaro,2020.0,-69.95630275080774,-14.71889593029836,0.16238189,0.11606114,0.11274869,-0.12850082,733.65265,5.794626,4034.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.449401345062505,0.34703094,0.24451162,0.22660926,-0.029760936,875.8761,5.4242625,4223.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.629064401886408,0.27077076,0.18041351,0.17948377,-0.15927152,847.86505,3.6367795,4617.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.763811694504337,0.36492082,0.28605983,0.2858915,0.0609733,752.2776,6.828251,3904.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.763811694504337,0.20385051,0.14338821,0.13700716,-0.17686231,680.49756,7.8293405,4045.0
